Address	Transfervalue Beds  Baths BuildingArea LotArea YearBuilt Pool	Age	Lvalue	 	          Acre	       LotArea	Lacre	    Condition
2840HermosaAve	760000	4	3	2334	7335	1949	0	64	13.54107371		0.053581267	7335	0.16838843	0
1482SunshineDr	889000	5	3	2352	13152	1967	1	46	13.69785251		0.05399449	13152	0.301928375	0
1665CumberlandTer 899000 3	2	1958	21933	1956	1	57	13.70903831		0.044949495	21933	0.503512397	1
741LutonDr	810000	4	3	3089	11192	1950	1	63	13.60478953		0.070913682	11192	0.256932966	1
1312JustinAve	535000	2	2	1159	6310	1925	0	88	13.19002203		0.026606979	6310	0.144857668	0
1542FairfieldSt	560000	2	1	1637	5682	1941	0	72	13.23569206		0.037580349	5682	0.130440771	1
1133CordovaAve	810000	4	2	1996	6507	1927	0	86	13.60478953		0.045821855	6507	0.149380165	0
1820RositaDr	615000	2	2	1728	6292	1947	0	66	13.32937755		0.039669421	6292	0.144444444	0
3440MevelPl	654000	3	2	1495	6531	1962	0	51	13.39086263		0.034320478	6531	0.149931129	0
2944ManhattanAve 610000	3	2	1429	6123	1953	1	60	13.32121424		0.032805326	6123	0.140564738	0
929ChudleighLn	1295000	5	4	3767	14156	1965	1	48	14.07402125		0.086478421	14156	0.324977043	0
2828ManhattanAve 515000	3	1	1003	5282	1944	0	69	13.15192218		0.023025712	5282	0.121258035	0
2047RimcrestDr	2300000	5	6	8143	10998	1988	1	25	14.64841968		0.186937557	10998	0.252479339	1
1421AllenAve	619000	2	3	1550	6306	1939	0	74	13.33586055		0.035583104	6306	0.14476584	0
1018CalleAllegre 1010000 4	4	2984	6826	1989	0	24	13.82546089		0.068503214	6826	0.156703398	1
4016RamsdellAve	490000	3	2	1420	9958	1953	0	60	13.10216067		0.032598714	9958	0.228604224	0
1045CalleContento 1180000 4	3	2777	5390	1990	0	23	13.981025		0.063751148	5390	0.123737374	1
2507EGlenoaksBlvd 367500 3	3	1153	1523	1983	0	30	12.8144786		0.026469238	1523	0.034963269	0
3315MillsAve	716000	4	2	1749	7312	1947	1	66	13.48143545		0.040151515	7312	0.167860422	0
1225MoncadoDr	825000	3	2	1906	6436	1927	0	86	13.62313867		0.043755739	6436	0.14775023	1
1651ParwayDr	900000	4	3	2870	14283	1963	1	51	13.71015004		0.065886134	14283	0.327892562	1
1105HillcroftRd	1650000	5	3	3816	15895	1926	1	88	14.31628585		0.087603306	15895	0.36489899	1
1454ValleyViewRd 1315000 4	4	4811	11662	1990	1	24	14.08934722		0.110445363	11662	0.267722681	1
1833FernLn	747500	3	3	2173	13947	1957	0	57	13.52448958		0.049885216	13947	0.320179063	0
932CalleSimpatico 860000 3	3	2397	5339	1990	0	24	13.66468767		0.055027548	5339	0.122566575	1
1415LindenAve	681000	4	2	1652	5770	1927	0	87	13.43131759		0.037924702	5770	0.132460973	0
4818CherylAve	725000	4	3	2392	8429	1948	0	66	13.49392693		0.054912764	8429	0.193503214	0
734CumbelandRd	880000	3	3	2528	6802	1926	0	88	13.68767719		0.058034894	6802	0.156152433	1
108CanonwoodDr	1175000	4	4	3924	1.21	1980	0	34	13.97677871		0.090082645	1.21	2.77778E-05	1
1418EssexLn	1314500	5	5	3912	1.2	1986	1	28	14.08896692		0.089807163	1.2	2.75482E-05	1
1205CortezDr	1300000	4	3	3430	10847	1935	1	79	14.07787482		0.078741965	10847	0.249012856	1
1448WinchesterAve 720000 3	2	1525	6087	1927	0	87	13.48700649		0.035009183	6087	0.139738292	1
2026RimcrestDr 1360000	7	5	4259	16510	1984	1	30	14.12299526		0.097773186	16510	0.379017447	1
1564HillsideDr	1315000	4	2	2655	16453	1936	0	78	14.08934722		0.060950413	16453	0.377708907	1
1373OpecheeWay	685000	2	2	1330	5476	1929	0	85	13.43717412		0.030532599	5476	0.125711662	0
2835HermosaAve	555000	3	2	1091	6872	1960	0	54	13.22672339		0.025045914	6872	0.157759412	0
1816WabassoWay	655500	3	2	1385	5245	1925	0	89	13.39315358		0.031795225	5245	0.120408632	0
1730CapistranoCir 1000000 6	3	3919	8631	1960	1	54	13.81551056		0.08996786	8631	0.198140496	1
1149NIsabelSt	770000	5	3	2173	6771	1925	1	89	13.55414579		0.049885216	6771	0.155440771	0
3837HonoluluAve	639000	3	3	2324	5632	2001	0	13	13.36765973		0.053351699	5632	0.129292929	1
1438ThompsonAve	695000	3	2	1388	8259	1941	0	73	13.45166712		0.031864096	8259	0.189600551	0
1010DoloritaAve	736000	4	2	1631	8278	1956	0	58	13.5089854		0.037442608	8278	0.190036731	0
3320BrookhillSt	780000	3	2	1722	5754	1950	0	64	13.5670492		0.03953168	5754	0.132093664	1
1616IrvingAve	790000	3	2	1857	9223	1946	0	68	13.57978822		0.042630854	9223	0.211730946	0
1518NColumbusAve 1410000 4	3	3111	10381	1925	1	89	14.15910026		0.071418733	10381	0.238314968	1
1816VerdugoVistaDr 690000 2	2	2074	10267	1961	1	53	13.44444688		0.047612489	10267	0.235697888	0
2006MaginnDr	1385000	3	3	2619	7809	1964	1	50	14.1412107		0.060123967	7809	0.179269972	1
1542HillcresAve 1550000	5	4	3918	12909	1929	1	85	14.25376549		0.089944904	12909	0.296349862	1
2200RisaDr	625000	3	2	1801	12571	1954	0	60	13.34550693		0.041345271	12571	0.28859045	0
3276BeaudryTer	1418000	3	3	3730	27474	1982	1	32	14.16475799		0.085629017	27474	0.630716253	1
1890IdlewoodRd	1000000	4	4	2883	30866	1963	0	51	13.81551056		0.066184573	30866	0.708585859	1
1400StanfordDr	1070000	3	3	2958	7719	1929	0	85	13.88316921		0.067906336	7719	0.177203857	1
1874IdlewoodRd	975000	2	4	2732	20635	1955	1	59	13.79019275		0.06271809	20635	0.473714417	1
2833ManhattanAve 525000	2	1	1111	5215	1952	0	62	13.17115354		0.025505051	5215	0.119719927	0
1515GlenmontDr	1335000	3	4	3448	34137	1941	1	73	14.10444185		0.079155188	34137	0.783677686	0
1120PrincetoDr	405000	2	1	1507	4166	1927	0	87	12.91164235		0.03459596	4166	0.0956382	0
1626DeValleAve	1200000	4	3	2638	13940	1926	1	88	13.99783211		0.060560147	13940	0.320018365	1
1312HighlandAve	479000	3	2	1627	7087	1926	0	88	13.07945588		0.037350781	7087	0.162695133	0
3920OakgroveCt	800000	4	3	2925	7742	1981	0	33	13.59236701		0.06714876	7742	0.177731864	0
1547VerdOaksDr	539000	2	2	1511	7475	1955	1	59	13.19747085		0.034687787	7475	0.171602388	0
845CoronadoDr	735000	3	2	1467	4953	1929	0	85	13.50762578		0.033677686	4953	0.113705234	0
3342ParkVistaDr	700000	4	2	1415	8755	1952	1	62	13.45883561		0.03248393	8755	0.200987144	0
1035CalleAzul	1100000	5	4	2984	5086	1989	0	25	13.91082074		0.068503214	5086	0.116758494	1
3158MillsAve	557500	3	2	1366	11711	1947	0	67	13.23121778		0.031359045	11711	0.268847567	0
1921CathaySt	740000	3	2	1574	8108	1956	0	58	13.51440547		0.036134068	8108	0.186134068	1
924CalleSimpatico 1060000 4	3	2618	5405	1990	0	24	13.87377947		0.06010101	5405	0.124081726	1
2525RisaDr	1000000	3	3	3297	14591	1982	0	32	13.81551056		0.075688705	14591	0.334963269	1
1359HighlandAve	645000	3	2	1296	10870	1922	1	92	13.3770056		0.029752066	10870	0.249540863	0
1641IrvineAve	830000	3	3	2432	10856	1975	0	39	13.62918098		0.055831038	10856	0.249219467	1
1021CalleSonrisa 890000	3	3	2479	6500	1990	0	24	13.69897674		0.056910009	6500	0.149219467	1
1353JustinAve	776000	3	2	1774	8451	1925	0	89	13.5619078		0.040725436	8451	0.194008264	0
441NolanAve	760000	3	3	2718	10409	1980	0	34	13.54107371		0.062396694	10409	0.238957759	1
1616HazbethLn	550000	4	5	2732	37772	1954	1	60	13.21767356		0.06271809	37772	0.867125803	0
1227CordovaAve	750000	3	2	1606	5603	1926	1	88	13.52782849		0.036868687	5603	0.128627181	0
2007ShererLn	799000	4	3	2379	17576	1963	1	51	13.59111622		0.054614325	17576	0.40348944	1
3308ParkVistaDr	900000	4	3	2395	8546	1977	1	37	13.71015004		0.054981635	8546	0.196189164	0
2832HermosaAve	560000	2	1	1200	7281	1925	0	89	13.23569206		0.027548209	7281	0.16714876	1
2781MiraVistaDr	749000	3	3	1958	4131	1976	0	38	13.52649426		0.044949495	4131	0.094834711	0
1224BerkeleyDr	798000	2	2	1435	4551	1925	0	89	13.58986388		0.032943067	4551	0.104476584	0
2855ManhattanAve 575000	3	2	1426	5894	1945	0	69	13.26212532		0.032736455	5894	0.135307622	0
3735MontroseAve	640000	3	2	1967	6077	1948	0	66	13.36922346		0.045156107	6077	0.139508724	0
1547HillcrestAve 1630000 3	5	4667	13569	1958	1	56	14.30409057		0.107139578	13569	0.311501377	1
2044WKennethRd	815000	3	2	2056	7567	1937	0	77	13.61094339		0.047199265	7567	0.173714417	1
1026BramfordDr	2150000	4	3	2797	12537	1980	1	34	14.5809784		0.064210285	12537	0.287809917	1
1635BelAireDr	780000	3	2	1670	8802	1923	0	91	13.5670492		0.038337925	8802	0.202066116	1
1375GreenmonDr	925000	3	3	2375	12398	1958	1	56	13.73754902		0.054522498	12398	0.284618916	1
